indicator,severity,description,source_feed,reference
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554248/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554242/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554243/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554244/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554245/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554246/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554247/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554233/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554234/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554235/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554236/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554237/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554238/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554241/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554224/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554225/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554227/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554228/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554230/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554231/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554232/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554215/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554217/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554218/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554219/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554202/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554206/
github.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554207/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554208/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554209/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554211/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554212/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554214/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554198/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554199/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554200/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554193/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554194/
avatars.githubusercontent.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554195/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554187/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554188/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554189/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554191/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554171/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554172/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554173/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554167/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554169/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554149/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554150/
avatars.githubusercontent.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554137/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554138/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554139/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554140/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554141/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554143/
www.ycombinator.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554124/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554125/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554133/
github.githubassets.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554134/
www.ycombinator.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554073/
mintlify.s3-us-west-1.amazonaws.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554030/
search.odin.io,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554012/
mintlify.s3-us-west-1.amazonaws.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554014/
mintlify.s3-us-west-1.amazonaws.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554009/
mintlify.s3-us-west-1.amazonaws.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554011/
mintlify.s3.us-west-1.amazonaws.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554006/
mintlify.s3.us-west-1.amazonaws.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,telnet,unknown)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554007/
github.com,HIGH,"Domain hosting: URLhaus: malware_download (c2-monitor-auto,dropped-by-amadey)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3553849/
muckdeveloper.com,HIGH,"Domain hosting: URLhaus: malware_download (ascii,Encoded)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3553761/
bangladeshcentralpressclub.com,HIGH,"Domain hosting: URLhaus: malware_download (GuLoader,rat,RemcosRAT)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3553741/
github.com,HIGH,Domain hosting: URLhaus: malware_download (exe),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3553737/
