indicator,severity,description,source_feed,reference,type
test1111111111111111111111asdasd.oss-cn-hongkong.aliyuncs.com,HIGH,"URLhaus: malware_download (107-148-239-231,ValleyRAT)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556226/,domain
github.com,HIGH,"URLhaus: malware_download (Formbook,github)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556111/,domain
github.com,HIGH,"URLhaus: malware_download (AsyncRAT,github)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556095/,domain
github.com,HIGH,"URLhaus: malware_download (exe,github,RemcosRAT)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556092/,domain
github.com,HIGH,"URLhaus: malware_download (AsyncRAT,github)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556087/,domain
github.com,HIGH,"URLhaus: malware_download (AsyncRAT,github)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556088/,domain
github.com,HIGH,"URLhaus: malware_download (github,RemcosRAT)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556086/,domain
github.com,HIGH,"URLhaus: malware_download (github,njRAT)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556078/,domain
github.com,HIGH,"URLhaus: malware_download (github,xworm)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556080/,domain
github.com,HIGH,"URLhaus: malware_download (github,xworm)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556082/,domain
github.com,HIGH,"URLhaus: malware_download (exe,github,RemcosRAT)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556077/,domain
works-clubs-attendance-vi.trycloudflare.com,HIGH,"URLhaus: malware_download (opendir,WsgiDAV)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556020/,domain
now-refer-several-tariff.trycloudflare.com,HIGH,"URLhaus: malware_download (opendir,WsgiDAV)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556021/,domain
now-refer-several-tariff.trycloudflare.com,HIGH,"URLhaus: malware_download (opendir,WsgiDAV)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556022/,domain
works-clubs-attendance-vi.trycloudflare.com,HIGH,"URLhaus: malware_download (opendir,WsgiDAV)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556017/,domain
works-clubs-attendance-vi.trycloudflare.com,HIGH,"URLhaus: malware_download (opendir,WsgiDAV)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556018/,domain
xai830k.com,HIGH,"URLhaus: malware_download (ascii,Encoded)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555899/,domain
xai830k.com,HIGH,"URLhaus: malware_download (ascii,Encoded)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555898/,domain
xai830k.com,HIGH,"URLhaus: malware_download (ascii,Encoded)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555897/,domain
github.com,HIGH,"URLhaus: malware_download (CoinMiner,exe)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555883/,domain
github.com,HIGH,"URLhaus: malware_download (CoinMiner,exe)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555878/,domain
xai830k.com,HIGH,"URLhaus: malware_download (CoinMiner,exe)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555879/,domain
xai830k.com,HIGH,"URLhaus: malware_download (CoinMiner,exe)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555880/,domain
discretion-membrane-import-destiny.trycloudflare.com,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555831/,domain
discretion-membrane-import-destiny.trycloudflare.com,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555830/,domain
ia600703.us.archive.org,HIGH,"URLhaus: malware_download (ascii,base64-loader,Encoded)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555811/,domain
pastebin.com,HIGH,URLhaus: malware_download (AsyncRAT),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555788/,domain
pastebin.com,HIGH,URLhaus: malware_download (AsyncRAT),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555789/,domain
pastebin.com,HIGH,URLhaus: malware_download (AsyncRAT),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555780/,domain
api.hostize.com,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555784/,domain
thememoirgallery.com,HIGH,"URLhaus: malware_download (ascii,AveMariaRAT,Encoded,rat,rev-base64-loader)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555670/,domain
