indicator,severity,description,source_feed,reference,type
117.72.54.2,HIGH,"URLhaus: malware_download (censys,CobaltStrike)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556337/,ip
110.40.147.170,HIGH,"URLhaus: malware_download (censys,CobaltStrike)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556336/,ip
124.70.53.158,HIGH,"URLhaus: malware_download (censys,CobaltStrike)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556335/,ip
155.94.155.76,HIGH,"URLhaus: malware_download (censys,CobaltStrike)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556332/,ip
23.251.33.21,HIGH,"URLhaus: malware_download (censys,CobaltStrike)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556333/,ip
121.40.127.134,HIGH,"URLhaus: malware_download (censys,CobaltStrike)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556334/,ip
117.222.121.63,HIGH,"URLhaus: malware_download (censys,elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556331/,ip
117.206.97.214,HIGH,"URLhaus: malware_download (backdoor,censys,elf,sshdkit)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556330/,ip
59.182.154.169,HIGH,"URLhaus: malware_download (backdoor,censys,elf,sshdkit)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556329/,ip
36.92.188.83,HIGH,"URLhaus: malware_download (censys,elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556328/,ip
124.248.189.18,HIGH,"URLhaus: malware_download (censys,elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556313/,ip
117.211.41.33,HIGH,"URLhaus: malware_download (backdoor,censys,elf,sshdkit)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556314/,ip
78.157.28.75,HIGH,"URLhaus: malware_download (censys,elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556315/,ip
182.53.141.112,HIGH,"URLhaus: malware_download (censys,elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556316/,ip
92.41.0.115,HIGH,"URLhaus: malware_download (backdoor,censys,elf,sshdkit)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556317/,ip
103.138.15.140,HIGH,"URLhaus: malware_download (censys,elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556318/,ip
120.61.252.52,HIGH,"URLhaus: malware_download (backdoor,censys,elf,sshdkit)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556319/,ip
181.231.230.172,HIGH,"URLhaus: malware_download (censys,elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556320/,ip
79.127.17.176,HIGH,"URLhaus: malware_download (censys,elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556321/,ip
186.13.136.68,HIGH,"URLhaus: malware_download (censys,elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556322/,ip
14.161.140.104,HIGH,"URLhaus: malware_download (backdoor,censys,elf,sshdkit)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556323/,ip
14.236.122.147,HIGH,"URLhaus: malware_download (backdoor,censys,elf,sshdkit)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556324/,ip
151.235.220.5,HIGH,"URLhaus: malware_download (censys,elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556326/,ip
14.161.140.104,HIGH,"URLhaus: malware_download (backdoor,censys,elf,sshdkit)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556327/,ip
77.50.71.143,HIGH,"URLhaus: malware_download (censys,elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556303/,ip
81.152.254.193,HIGH,"URLhaus: malware_download (backdoor,censys,elf,sshdkit)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556304/,ip
120.61.252.181,HIGH,"URLhaus: malware_download (backdoor,censys,elf,sshdkit)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556305/,ip
81.152.254.193,HIGH,"URLhaus: malware_download (backdoor,censys,elf,sshdkit)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556306/,ip
117.211.44.62,HIGH,"URLhaus: malware_download (backdoor,censys,elf,sshdkit)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556307/,ip
5.67.194.232,HIGH,"URLhaus: malware_download (censys,elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556308/,ip
124.122.82.11,HIGH,"URLhaus: malware_download (censys,elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556310/,ip
152.172.147.89,HIGH,"URLhaus: malware_download (backdoor,censys,elf,sshdkit)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556311/,ip
117.242.196.100,HIGH,"URLhaus: malware_download (backdoor,censys,elf,sshdkit)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556312/,ip
88.31.67.126,HIGH,"URLhaus: malware_download (backdoor,censys,elf,sshdkit)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556301/,ip
